dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,ResNet18,42,none,0,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.0,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,none,0,trust,trust,trust,performance,relative_error_increase,relative error increase,0.0,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,trust,trust,trust,confidence,ece_increase,ECE increase,0.0030891658645344974,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.002058590657165498,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.0032901775242313996,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.007205067300079193,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,trust,trust,trust,performance,relative_error_increase,relative error increase,0.1619217081850538,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,trust,trust,trust,confidence,ece_increase,ECE increase,0.010872832230887298,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.003879651623119599,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.011475736162347299,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.021773555027711833,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,trust,trust,trust,performance,relative_error_increase,relative error increase,0.4893238434163711,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,3,caution,caution,trust,confidence,ece_increase,ECE increase,0.021581324234734602,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
